Station,Easting,Northing,Elevation
3201,317718.1796632183,4121964.7548362473,2183.722900390625
3210,317795.5440447648,4122011.9200608507,2183.177490234375
3220,317886.26455116924,4122061.0164983757,2184.184814453125
3230,317976.98396363127,4122110.1138791908,2187.3935546875
3240,318056.1920944536,4122160.5716502927,2190.380859375
3250,318148.7559450149,4122212.961072524,2193.69921875
3260,318235.08393878036,4122264.3763310416,2198.12890625
3270,318324.93576810905,4122314.606095666,2204.865234375
3280,318410.25439252297,4122360.4944426026,2214.291259765625
3290,318494.7327998389,4122408.6219349,2233.692138671875
3300,318581.9197994475,4122458.9118740615,2228.820068359375
3310,318669.1776084016,4122512.531383151,2223.192138671875
3320,318756.3863801654,4122563.932627796,2225.791259765625
3330,318845.3684515558,4122615.2964605917,2229.194580078125
3340,318931.75961322617,4122670.0472930153,2226.825439453125
3350,319021.6266183271,4122721.39378716,2226.80029296875
3360,319108.8787657587,4122775.017677645,2226.278564453125
3365,319150.1669770631,4122796.329889836,2226.415283203125
3370,319196.8019093165,4122818.6372372885,2226.529052734375
3380,319288.48771336186,4122872.1674010647,2226.3486328125
3390,319372.81244598696,4122913.6459854455,2226.886962890625
3400,319458.04733154195,4122956.2158765895,2227.761474609375
3410,319558.36293136806,4122998.462456269,2233.230712890625
3415,319604.1322592827,4123021.9006220005,2238.54541015625
3420,319647.16837180144,4123042.0675036404,2238.13720703125
3430,319737.72331772285,4123084.5257967203,2232.1298828125
3440,319827.53304331633,4123133.661465531,2229.277587890625
3450,319913.76935401367,4123181.7646125145,2229.1650390625
3460,320000.630085023,4123217.6443743594,2229.69482421875
3470,320101.77913422365,4123257.6590928775,2229.456787109375
3480,320191.06189666333,4123282.3880925924,2228.55126953125
3490,320281.2229763415,4123348.171917416,2224.149658203125
3495,320323.41603955784,4123370.5802723207,2222.13671875
3500,320356.95148234,4123403.164747283,2221.536376953125
3510,320436.8771524372,4123446.967702753,2225.3583984375
3520,320530.34565154917,4123501.5825366154,2227.129638671875
3530,320593.24868656666,4123537.9803416473,2226.42431640625
3540,320695.8805305347,4123564.6493005217,2226.521240234375
3550,320823.62136697094,4123561.921666963,2226.521240234375
3560,320923.89737139124,4123519.8193763783,2226.515380859375
3570,321017.1604283128,4123523.380651527,2226.42431640625
3580,321109.55990016565,4123528.0714274966,2226.42431640625
3587,321214.603877019,4123501.412034549,2226.64013671875
3590,321225.15448226995,4123496.7470661886,2226.879150390625
3594,321250.0640048565,4123499.546803552,2226.64013671875
3600,321293.4004025998,4123534.146214246,2226.38525390625
3610,321358.6168484071,4123596.0317945327,2226.725341796875
3620,321439.79971837654,4123657.5781695163,2225.80126953125
3624,321475.0800646782,4123689.019617379,2225.1611328125
3632,321560.3570088891,4123692.75665271,2225.1611328125
3633,321564.4857401468,4123678.2380506564,2225.556640625
3640,321639.6748194459,4123666.6494584917,2225.884521484375
3650,321735.8323505606,4123681.2577167638,2225.556640625
3660,321829.21051249275,4123690.375741143,2225.1611328125
3670,321904.3206188356,4123758.7156354785,2212.901123046875
3680,321988.11181776726,4123817.9915325074,2198.343994140625
3690,322066.65008093714,4123880.70974143,2181.927490234375
3700,322150.06271031266,4123922.23419311,2168.061279296875
3705,322193.880536723,4123937.9567116955,2166.53369140625
3710,322256.3965650176,4123956.613628,2163.711669921875
3720,322337.3107241529,4124005.963168273,2156.490966796875
3730,322430.36063642136,4124041.7359700375,2153.64404296875
3740,322526.2350331164,4124085.220432965,2151.8671875
3750,322624.69910786825,4124125.3210323593,2151.578369140625
3756,322681.16759238666,4124151.87918808,2152.6337890625
3770,322792.2389869828,4124242.777864526,2154.320068359375
3780,322868.8057370301,4124296.6642250405,2155.573486328125
3790,322951.0212012227,4124365.9728225637,2154.86083984375
3800,323029.52356228663,4124427.590077672,2154.29736328125
3810,323103.5898549506,4124489.301517891,2155.75634765625
3820,323196.2815392136,4124550.6211055373,2159.059326171875
3826,323234.1421995834,4124578.684861478,2159.455078125
3827,323242.382042271,4124590.721873746,2159.45947265625
3840,323341.63070695155,4124668.555618612,2159.525146484375
3850,323433.151498426,4124716.58165387,2159.42431640625
3860,323521.10006577376,4124763.5737097263,2159.481201171875
3874,323630.54422862706,4124820.1052308185,2159.832275390625
