Station,Lat,Lon
3201,37.22639,-107.05465
3210,37.22683,-107.05379
3220,37.22729,-107.05278
3230,37.22775,-107.05177
3240,37.22822,-107.05089
3250,37.22871,-107.04986
3260,37.22919,-107.04890
3270,37.22966,-107.04790
3280,37.23009,-107.04695
3290,37.23054,-107.04601
3300,37.23101,-107.04504
3310,37.23151,-107.04407
3320,37.23199,-107.04310
3330,37.23247,-107.04211
3340,37.23298,-107.04115
3350,37.23346,-107.04015
3360,37.23396,-107.03918
3365,37.23416,-107.03872
3370,37.23437,-107.03820
3380,37.23487,-107.03718
3390,37.23526,-107.03624
3400,37.23566,-107.03529
3410,37.23606,-107.03417
3415,37.23628,-107.03366
3420,37.23647,-107.03318
3430,37.23687,-107.03217
3440,37.23733,-107.03117
3450,37.23778,-107.03021
3460,37.23812,-107.02924
3470,37.23850,-107.02811
3480,37.23874,-107.02711
3490,37.23935,-107.02611
3495,37.23956,-107.02564
3500,37.23986,-107.02527
3510,37.24027,-107.02438
3520,37.24078,-107.02334
3530,37.24112,-107.02264
3540,37.24138,-107.02149
3550,37.24138,-107.02005
3560,37.24102,-107.01891
3570,37.24107,-107.01786
3580,37.24113,-107.01682
3587,37.24091,-107.01563
3590,37.24087,-107.01551
3594,37.24090,-107.01523
3600,37.24122,-107.01475
3610,37.24179,-107.01403
3620,37.24236,-107.01313
3624,37.24265,-107.01274
3632,37.24270,-107.01178
3633,37.24257,-107.01173
3640,37.24248,-107.01088
3650,37.24263,-107.00980
3660,37.24273,-107.00875
3670,37.24336,-107.00792
3680,37.24391,-107.00699
3690,37.24449,-107.00612
3700,37.24488,-107.00519
3705,37.24503,-107.00470
3710,37.24521,-107.00400
3720,37.24567,-107.00310
3730,37.24601,-107.00206
3740,37.24642,-107.00099
3750,37.24680,-106.99989
3756,37.24705,-106.99926
3770,37.24789,-106.99803
3780,37.24839,-106.99718
3790,37.24903,-106.99627
3800,37.2496,-106.99540
3810,37.25017,-106.99458
3820,37.25074,-106.99355
3826,37.25100,-106.99313
3827,37.25111,-106.99304
3840,37.25183,-106.99194
3850,37.25228,-106.99092
3860,37.25272,-106.98994
3874,37.25325,-106.98872
